"Image","Tag","CompressedArchiveBytes","CompressedArchiveMB","LocalUnpackedBytes","LocalUnpackedMB","LocalUnpackedDisplay","UniqueLocalBytes","UniqueLocalMB","UniqueLocalDisplay"
"omnishard-adapter","local-release","22763120","22.76","73700000","73.7","73.7MB","22810000","22.81","22.81MB"
"omnishard-all-in-one","local-release","141204286","141.2","551000000","551","551MB","141900000","141.9","141.9MB"
"omnishard-all-in-one-monolith","local-release","120731130","120.73","492000000","492","492MB","121400000","121.4","121.4MB"
"omnishard-frontend","local-release","60801556","60.8","258000000","258","258MB","61080000","61.08","61.08MB"
"omnishard-gateway","local-release","20921182","20.92","73600000","73.6","73.6MB","20980000","20.98","20.98MB"
"omnishard-monolith","local-release","23477902","23.48","76600000","76.6","76.6MB","23530000","23.53","23.53MB"
"omnishard-orchestrator","local-release","9347729","9.35","30400000","30.4","30.4MB","9362000","9.36","9.362MB"
"omnishard-sharding","local-release","9366124","9.37","31200000","31.2","31.2MB","9386000","9.39","9.386MB"
"omnishard-shardmap","local-release","12503779","12.5","38900000","38.9","38.9MB","12520000","12.52","12.52MB"
