"Release","ImageCount","Images","CompressedArchiveBytes","CompressedArchiveMB","LocalUnpackedBytes","LocalUnpackedMB","UniqueLocalBytes","UniqueLocalMB"
"all-in-one-monolith","1","omnishard-all-in-one-monolith","120731578","120.73","492000000","492","121400000","121.4"
"single-image-monolith","2","omnishard-frontend, omnishard-monolith","84279792","84.28","334600000","334.6","84610000","84.61"
